# sims,PCs,PCA (seconds),MCMC (seconds)
16.000,1.000,5.402,5.525
16.000,2.000,1.870,10.580
16.000,3.000,2.027,15.840
16.000,4.000,2.040,21.415
16.000,5.000,2.193,27.340
16.000,6.000,2.345,33.298
16.000,7.000,2.611,40.272
16.000,8.000,2.849,47.547
16.000,9.000,3.118,54.588
16.000,10.000,3.332,61.887
16.000,11.000,3.607,69.765
32.000,1.000,14.890,6.004
32.000,2.000,3.047,11.610
32.000,3.000,3.121,17.546
32.000,4.000,3.311,23.770
32.000,5.000,3.480,29.860
32.000,6.000,3.603,36.632
32.000,7.000,3.799,43.233
32.000,8.000,3.925,50.561
32.000,9.000,4.253,57.948
32.000,10.000,4.491,65.558
32.000,11.000,4.820,73.032
64.000,1.000,35.946,7.149
64.000,2.000,5.388,13.942
64.000,3.000,5.623,21.046
64.000,4.000,5.764,28.561
64.000,5.000,5.962,36.083
64.000,6.000,6.631,44.059
64.000,7.000,8.725,52.476
64.000,8.000,6.504,60.473
64.000,9.000,6.847,68.986
64.000,10.000,7.551,78.475
64.000,11.000,7.954,87.334
128.000,1.000,95.552,12.441
128.000,2.000,10.640,24.728
128.000,3.000,10.147,36.915
128.000,4.000,10.292,50.067
128.000,5.000,10.902,63.484
128.000,6.000,14.212,78.446
128.000,7.000,13.120,92.857
128.000,8.000,13.477,106.944
128.000,9.000,12.948,120.843
128.000,10.000,14.714,137.661
128.000,11.000,16.711,151.897
256.000,1.000,292.089,41.567
256.000,2.000,25.993,82.313
256.000,3.000,27.219,125.567
256.000,4.000,26.674,161.043
256.000,5.000,24.132,210.609
256.000,6.000,23.805,232.337
256.000,7.000,24.249,269.596
256.000,8.000,26.274,303.657
256.000,9.000,26.130,358.426
256.000,10.000,24.149,388.717
256.000,11.000,28.362,421.111
